year,quarter,country_code,target_total_sales,target_units_sold,target_repeat_purchase_rate,target_profit_margin,target_sales_growth_rate,sales_rep_quota
2022,1,DE,3815439.62,10618,0.34,0.31,0.12,119232.488125
2022,1,GB,2861579.71,7964,0.34,0.31,0.14,119232.48791666667
2022,1,IT,1907719.81,5309,0.38,0.27,0.08,119232.488125
2022,1,AT,953859.9,2655,0.44,0.32,0.09,119232.4875
2022,2,DE,3890252.16,10827,0.39,0.29,0.09,121570.38
2022,2,GB,2917689.12,8120,0.43,0.27,0.06,121570.38
2022,2,IT,1945126.08,5413,0.35,0.33,0.06,121570.38
2022,2,AT,972563.04,2707,0.32,0.28,0.11,121570.38
2022,3,DE,3965064.7,11035,0.34,0.27,0.08,123908.271875
2022,3,GB,2973798.52,8276,0.39,0.26,0.11,123908.27166666667
2022,3,IT,1982532.35,5517,0.32,0.33,0.13,123908.271875
2022,3,AT,991266.17,2759,0.37,0.32,0.1,123908.27125
2022,4,DE,4039877.24,11243,0.33,0.28,0.07,126246.16375
2022,4,GB,3029907.93,8432,0.45,0.27,0.15,126246.16375
2022,4,IT,2019938.62,5622,0.44,0.28,0.06,126246.16375
2022,4,AT,1009969.31,2811,0.4,0.3,0.05,126246.16375
2023,1,DE,3890252.16,10827,0.39,0.25,0.14,121570.38
2023,1,GB,2917689.12,8120,0.37,0.27,0.14,121570.38
2023,1,IT,1945126.08,5413,0.31,0.31,0.1,121570.38
2023,1,AT,972563.04,2707,0.45,0.29,0.06,121570.38
2023,2,DE,4039877.24,11243,0.31,0.29,0.1,126246.16375
2023,2,GB,3029907.93,8432,0.34,0.28,0.13,126246.16375
2023,2,IT,2019938.62,5622,0.41,0.34,0.1,126246.16375
2023,2,AT,1009969.31,2811,0.34,0.25,0.11,126246.16375
2023,3,DE,4189502.32,11659,0.33,0.3,0.1,130921.9475
2023,3,GB,3142126.74,8745,0.33,0.33,0.05,130921.94750000001
2023,3,IT,2094751.16,5830,0.4,0.27,0.08,130921.9475
2023,3,AT,1047375.58,2915,0.34,0.31,0.07,130921.9475
2023,4,DE,4339127.41,12076,0.39,0.35,0.14,135597.7315625
2023,4,GB,3254345.56,9057,0.4,0.34,0.09,135597.73166666666
2023,4,IT,2169563.7,6038,0.3,0.29,0.12,135597.73125
2023,4,AT,1084781.85,3019,0.43,0.26,0.13,135597.73125
2024,1,DE,3965064.7,11035,0.41,0.33,0.09,123908.271875
2024,1,GB,2973798.52,8276,0.33,0.33,0.09,123908.27166666667
2024,1,IT,1982532.35,5517,0.44,0.29,0.13,123908.271875
2024,1,AT,991266.17,2759,0.35,0.26,0.14,123908.27125
2024,2,DE,4189502.32,11659,0.37,0.32,0.13,130921.9475
2024,2,GB,3142126.74,8745,0.38,0.28,0.08,130921.94750000001
2024,2,IT,2094751.16,5830,0.39,0.31,0.14,130921.9475
2024,2,AT,1047375.58,2915,0.4,0.3,0.12,130921.9475
2024,3,DE,4413939.95,12284,0.31,0.28,0.08,137935.6234375
2024,3,GB,3310454.96,9213,0.32,0.34,0.08,137935.62333333332
2024,3,IT,2206969.97,6142,0.36,0.28,0.13,137935.623125
2024,3,AT,1103484.99,3071,0.31,0.32,0.13,137935.62375
2024,4,DE,4638377.57,12909,0.3,0.3,0.09,144949.2990625
2024,4,GB,3478783.18,9681,0.4,0.31,0.08,144949.29916666666
2024,4,IT,2319188.79,6454,0.36,0.29,0.09,144949.299375
2024,4,AT,1159594.39,3227,0.3,0.3,0.14,144949.29875
