sale_id,branch_id,shoe_id,sale_date,َquantity_sold,total_price
965600,1,SA819,2024-01-29,3,450
812647,3,FO622,2024-11-10,2,460
919003,3,SA627,2024-08-05,3,450
873105,2,BO381,2024-10-05,1,300
701505,2,SN401,2024-02-04,3,540
766754,2,HE320,2024-03-15,1,250
982264,2,HE178,2024-08-29,2,500
285665,2,HE888,2024-07-28,2,500
178486,3,BA434,2024-08-08,4,480
714934,1,SN964,2024-01-18,4,720
919564,3,CA252,2024-02-18,4,760
229984,2,FO429,2024-09-23,3,690
526984,3,SA674,2024-01-16,1,150
212477,3,BA398,2024-10-16,2,240
295574,2,SA495,2024-05-16,4,600
423716,1,FO437,2024-01-31,2,460
141016,2,FO928,2024-11-18,2,460
982016,1,HE997,2024-03-13,3,750
506411,2,CA542,2024-05-16,3,570
395942,3,SA372,2024-12-28,1,150
337854,3,SN211,2024-02-25,1,180
837661,2,BO605,2024-12-27,2,600
846025,3,BA251,2024-06-30,4,480
507811,3,SA600,2024-06-29,1,150
879752,2,HE348,2024-04-27,4,1000
237631,3,BO605,2024-03-15,3,900
132261,1,SA167,2024-12-25,3,450
649485,2,BA249,2024-04-25,3,360
798209,2,FO246,2024-01-09,3,690
351630,2,BO370,2024-02-02,3,900
426742,3,SN503,2024-06-03,4,720
150633,1,FO540,2024-10-06,1,230
868519,3,HE206,2024-05-12,2,500
878910,2,BA201,2024-09-05,4,480
293810,1,FO696,2024-05-06,2,460
569862,2,SA549,2024-03-07,1,150
189645,2,BO185,2024-02-02,2,600
330386,2,BO158,2024-06-21,1,300
839238,3,HE549,2024-08-04,4,1000
751948,1,CA293,2024-03-31,4,760
337533,1,BO158,2024-02-13,1,300
619640,2,FO149,2024-09-03,2,460
170071,1,HE851,2024-05-14,4,1000
818070,2,HE724,2024-02-25,1,250
197393,3,SN398,2024-09-08,3,540
792836,1,BA816,2024-12-28,1,120
731275,1,CA730,2024-12-21,1,190
391205,2,FO433,2024-06-27,1,230
481208,2,HE839,2024-10-17,4,1000
811241,1,SN138,2024-07-02,2,360
761189,3,FO540,2024-05-24,1,230
412530,3,HE116,2024-02-15,1,250
697101,3,SA991,2024-05-12,4,600
891514,2,CA166,2024-12-28,4,760
643210,3,BO623,2024-06-10,3,900
167137,3,SN512,2024-03-26,2,360
